total_score,technology_score,experience_score,company_score,role_score,match_level,required_skills,preferred_skills,technologies_mentioned,experience_requirement,location,remote_friendly,company_type,application_recommendation,reasoning,skill_gaps,growth_potential,job_title,company_name,job_url,processed_at,should_apply,fallback_used
72,34.0,10,18,10.0,good,"['Python', 'SQL', 'ETL Development', 'AWS S3', 'AWS EC2', 'RDBMS']","['Apache Airflow', 'AWS Lambda', 'PostgreSQL', 'Great Expectations', 'Jenkins', 'CI/CD Pipelines']","['Hive', 'Cloudera', 'Python', 'Data Analysis', 'Scala', 'Oozie', 'Airflow', 'Data Warehousing']",1-4 years,"Bengaluru, Pune, Mumbai, Kolkata, New Delhi, Hyderabad, Chennai",True,service,recommend,"Kaustubh has a good skillset for this role. His 2 years of experience at Eli Lilly & Company is relevant.  The experience requirement (1-4 years) is a good match, earning him a score of 10 in the experience category.  His strong foundation in Python, SQL, AWS, and ETL tools gives a decent technology score. However, the lack of significant experience with Big Data tools like Spark and Kafka lowers his technology score. The job description mentions tools like Hive and Cloudera, which he doesn't list as skills.  The company is service-based, but the flexibility of location including Bangalore and remote options boosts the company score.  The role is a perfect match for a Data Engineer, but some skills mentioned in the job description are missing from Kaustubh's profile. Overall, the combination of experience, skills, and role relevance makes this a good opportunity, but further skill development in Big Data technologies is recommended.","['Apache Spark', 'Kafka', 'Hadoop', 'DBT', 'Databricks', 'Snowflake', 'Cloudera', 'Hive']",medium,Data Engineer,Netlink Software Pvt Ltd is looking for Data Engineer to join our dynamic team and emba...,,1753043759.7262626,True,
70,37.0,10,18,5.0,good,"['Python', 'SQL', 'Apache Airflow', 'AWS S3', 'AWS EC2', 'ETL Development', 'Data Validation', 'Schema Design']","['DBT', 'Spark', 'Kafka', 'AWS Lambda', 'PostgreSQL', 'Great Expectations']","['Python', 'SQL', 'Bash', 'Apache Airflow', 'Jenkins', 'Great Expectations', 'PostgreSQL', 'MySQL', 'Oracle DB', 'AWS S3', 'AWS EC2', 'AWS Lambda', 'AWS CloudWatch', 'AWS Secrets Manager', 'GCP', 'REST APIs', 'JSON', 'XML', 'CI/CD Pipelines', 'Kubernetes', 'Hive', 'Cloudera', 'Data Analysis', 'Scala', 'Oozie', 'Data Warehousing']",1-4 years,"Bengaluru, Pune, Mumbai, Kolkata, New Delhi, Hyderabad, Chennai",True,product,recommend,"Kaustubh has a good match with this role. His 2 years of experience aligns well with the 1-4 years requirement, earning a 'good match' score in the experience section.  His skillset strongly overlaps with the required technologies. He is proficient in Python, SQL, Airflow, and AWS services (S3, EC2), which are crucial for the role. He also has experience with ETL and data validation, aligning perfectly with Data Engineering responsibilities.  However, the lack of experience with Hadoop and some big data tools like Spark and Kafka reduces the technology score. The company is located in several cities including Bangalore, which suits Kaustubh’s preference. The role's mention of hybrid/remote work further enhances the appeal. His learning skills list many technologies mentioned in the job description, suggesting a good potential for rapid growth within the role. Therefore, applying is recommended.","['Hadoop', 'Spark (though listed as learning)', 'Kafka (though listed as learning)']",medium,Data Engineer,Edgematics,,1753043763.784503,True,
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,"Job Description Alimentation Couche-Tard Inc., (ACT) is a global Fortune 200 comp...",,1753043764.1185846,False,True
35,14.0,10,5,3.5,poor,,,,,,,,avoid,Fallback scoring due to API error,,,SQL Developer / Data Engineer,Infidigit,,1753043768.1227744,False,True
35,14.0,10,5,3.5,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Python Data Engineer,Helios Placement Solution,,1753043772.1289206,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Uplers,,1753043776.1220758,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Arsr Technologies,,1753043780.108195,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Fractal Analytics,,1753043784.118478,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Retailcloud,,1753043788.1294298,False,True
35,14.0,10,5,3.5,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer - Dataiku / Python,InfoCepts,,1753043792.1286085,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Atlassian,,1753043796.1299717,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,NPS Prism,,1753043800.1235795,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Investcloud,,1753043804.1286502,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Sapaad Software,,1753043808.1287265,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Photon,,1753043812.128662,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Photon,,1753043816.1386433,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer - Introlligent,Introlligent,,1753043820.1334374,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Photon,,1753043824.1386156,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Nityo Infotech,,1753043828.1283498,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Puresoftware,,1753043832.1387005,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Cognite Data Engineer,EY,,1753043844.6235206,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Tredence,,1753043848.6286032,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Live Connections,,1753043852.6273012,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,"Data Engineer (ETL, Go, Databricks)",Instinctools,,1753043856.61882,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,"These include the data lake, operational databases, data pipelines, large-scale batch a...",,1753043860.6307583,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Drivetrain,,1753043864.6284153,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Open Insights,,1753043868.6282892,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer - Automotive Research,S&P Global Market Intelligence,,1753043872.6187627,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Miracle Solution,,1753043876.6189322,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer - Databricks,Inorg,,1753043880.638243,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer – Databricks,Inorg,,1753043884.6433482,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Beinex,,1753043888.638571,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Wipro,,1753043892.6285968,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Amakshar Technology,,1753043896.6533802,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,database designdata modelingbigquerydesign principlesetlhivedata servicespython,,1753043900.648398,False,True
35,14.0,10,5,3.5,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer – Python,Soul Ai,,1753043904.6382122,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Henson Group,,1753043908.6385477,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Apex Group,,1753043920.5086558,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Microsoft Fabric Data Engineer,Avisoft,,1753043924.4885988,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Accenture,,1753043928.4915524,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Accenture,,1753043932.4899142,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,Virtualware Innovations,,1753043936.488821,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Data Engineer,CCS technologies,,1753043940.4983788,False,True
30,12.0,10,5,3.0,poor,,,,,,,,avoid,Fallback scoring due to API error,,,Databricks Data Engineer,Upteam,,1753043944.4986994,False,True
