successful_applications,failed_applications,skipped_applications
https://www.naukri.com/job-listings-data-engineer-acesoft-labs-bengaluru-3-to-8-years-110725018703,https://www.naukri.com/job-listings-python-developer-sourcefuse-technologies-india-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-2-years-010725502415,
https://www.naukri.com/job-listings-data-engineer-impact-analytics-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-7-years-290525502898,https://www.naukri.com/job-listings-python-developer-total-shape-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-4-years-280525501795,
https://www.naukri.com/job-listings-data-engineer-vrchat-inc-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-4-years-110924500256,https://www.naukri.com/job-listings-python-developer-total-shape-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-4-years-280525501795,
https://www.naukri.com/job-listings-data-engineer-hashedin-by-deloitte-pune-gurugram-bengaluru-1-to-3-years-230625011867,https://www.naukri.com/job-listings-it-etl-developer-systechcorp-inc-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-6-years-030325503491,
https://www.naukri.com/job-listings-azure-etl-developer-planet-ecom-solutions-bengaluru-3-to-5-years-190625019447,https://www.naukri.com/job-listings-it-etl-developer-systechcorp-inc-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-6-years-030325503491,
https://www.naukri.com/job-listings-senior-python-etl-developer-lead-aliqan-services-bangalore-rural-chennai-bengaluru-6-to-8-years-210625012334,https://www.naukri.com/job-listings-data-engineer-or-etl-developer-acesoft-labs-bengaluru-3-to-6-years-080725004126,
https://www.naukri.com/job-listings-sql-developer-sonata-software-bengaluru-2-to-4-years-180625020011,https://www.naukri.com/job-listings-data-engineer-or-etl-developer-acesoft-labs-bengaluru-3-to-6-years-080725004126,
https://www.naukri.com/job-listings-sql-developer-it-services-and-it-consulting-5-year-bengaluru-crescendo-global-leadership-hiring-india-bengaluru-5-to-9-years-100625009914,https://www.naukri.com/job-listings-etl-developer-iics-epam-systems-hyderabad-pune-bengaluru-6-to-11-years-250625010202,
https://www.naukri.com/job-listings-strong-middle-data-engineer-intellias-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-6-years-070725502717,https://www.naukri.com/job-listings-etl-developer-iics-epam-systems-hyderabad-pune-bengaluru-6-to-11-years-250625010202,
https://www.naukri.com/job-listings-data-engineer-systechcorp-inc-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-6-years-100125506406,https://www.naukri.com/job-listings-etl-developer-acesoft-labs-bengaluru-3-to-6-years-300625019535,
https://www.naukri.com/job-listings-data-engineer-perfios-software-solutions-bengaluru-delhi-ncr-mumbai-all-areas-1-to-3-years-280425021202,https://www.naukri.com/job-listings-etl-developer-acesoft-labs-bengaluru-3-to-6-years-300625019535,
https://www.naukri.com/job-listings-data-engineer-merkle-science-mumbai-bengaluru-3-to-7-years-020725505750,https://www.naukri.com/job-listings-data-engineer-etl-developer-talend-power-bi-acesoft-labs-bengaluru-3-to-6-years-080725022542,
https://www.naukri.com/job-listings-data-engineer-pg-rs-exavalu-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-4-years-120525501830,https://www.naukri.com/job-listings-data-engineer-etl-developer-talend-power-bi-acesoft-labs-bengaluru-3-to-6-years-080725022542,
https://www.naukri.com/job-listings-data-engineer-accenture-solutions-pvt-ltd-bengaluru-3-to-8-years-100725932400,https://www.naukri.com/job-listings-data-engineer-etl-developer-talend-power-bi-acesoft-labs-bengaluru-3-to-6-years-010725020227,
https://www.naukri.com/job-listings-data-engineer-accenture-solutions-pvt-ltd-bengaluru-3-to-8-years-100725924045,https://www.naukri.com/job-listings-data-engineer-etl-developer-talend-power-bi-acesoft-labs-bengaluru-3-to-6-years-010725020227,
https://www.naukri.com/job-listings-python-developer-senior-software-xerox-business-solutions-southeast-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-6-years-030425502179,https://www.naukri.com/job-listings-etl-developer-celeros-flow-technology-bengaluru-7-to-10-years-130325503834,
https://www.naukri.com/job-listings-associate-software-developer-python-pthinks-private-limited-bengaluru-3-to-5-years-210625500881,https://www.naukri.com/job-listings-etl-developer-celeros-flow-technology-bengaluru-7-to-10-years-130325503834,
https://www.naukri.com/job-listings-python-developer-sourcefuse-technologies-india-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-2-years-010725502415,https://www.naukri.com/job-listings-etl-developer-gforce-consulting-solutions-bengaluru-5-to-8-years-101222500190,
,https://www.naukri.com/job-listings-etl-developer-gforce-consulting-solutions-bengaluru-5-to-8-years-101222500190,
,https://www.naukri.com/job-listings-etl-developer-ssis-informatica-kumaran-systems-chennai-bengaluru-3-to-8-years-110725005108,
,https://www.naukri.com/job-listings-etl-developer-ssis-informatica-kumaran-systems-chennai-bengaluru-3-to-8-years-110725005108,
,https://www.naukri.com/job-listings-etl-developer-java-support-engineer-acesoft-labs-bengaluru-3-to-6-years-300625021780,
,https://www.naukri.com/job-listings-etl-developer-java-support-engineer-acesoft-labs-bengaluru-3-to-6-years-300625021780,
,https://www.naukri.com/job-listings-senior-mobile-developer-cashfree-payments-bengaluru-2-to-5-years-170625029376,
,https://www.naukri.com/job-listings-senior-mobile-developer-cashfree-payments-bengaluru-2-to-5-years-170625029376,
,https://www.naukri.com/job-listings-senior-etl-developer-diverse-lynx-bengaluru-3-to-8-years-250221501112,
,https://www.naukri.com/job-listings-senior-etl-developer-diverse-lynx-bengaluru-3-to-8-years-250221501112,
,https://www.naukri.com/job-listings-senior-etl-developer-iics-kafka-snowflake-evnek-mumbai-new-delhi-bengaluru-4-to-6-years-230625918485,
,https://www.naukri.com/job-listings-senior-etl-developer-iics-kafka-snowflake-evnek-mumbai-new-delhi-bengaluru-4-to-6-years-230625918485,
,https://www.naukri.com/job-listings-etl-python-pyspark-developer-cgi-bengaluru-6-to-9-years-080725022258,
,https://www.naukri.com/job-listings-etl-python-pyspark-developer-cgi-bengaluru-6-to-9-years-080725022258,
,https://www.naukri.com/job-listings-senior-etl-developer-talend-clifyx-technology-bengaluru-5-to-8-years-260625502263,
,https://www.naukri.com/job-listings-senior-etl-developer-talend-clifyx-technology-bengaluru-5-to-8-years-260625502263,
,https://www.naukri.com/job-listings-sql-developer-iospl-technology-services-private-limited-noida-hyderabad-bengaluru-4-to-9-years-200625930287,
,https://www.naukri.com/job-listings-sql-developer-iospl-technology-services-private-limited-noida-hyderabad-bengaluru-4-to-9-years-200625930287,
,https://www.naukri.com/job-listings-sql-developer-devon-software-services-bengaluru-3-to-5-years-090725003371,
,https://www.naukri.com/job-listings-sql-developer-devon-software-services-bengaluru-3-to-5-years-090725003371,
,https://www.naukri.com/job-listings-hadoop-sql-developer-teamware-solutions-a-division-of-quantum-leap-co-nsulting-mumbai-bengaluru-5-to-7-years-260625937275,
,https://www.naukri.com/job-listings-hadoop-sql-developer-teamware-solutions-a-division-of-quantum-leap-co-nsulting-mumbai-bengaluru-5-to-7-years-260625937275,
,https://www.naukri.com/job-listings-sql-developer-geetha-technology-solutions-private-limited-bengaluru-5-to-10-years-090625912415,
,https://www.naukri.com/job-listings-sql-developer-geetha-technology-solutions-private-limited-bengaluru-5-to-10-years-090625912415,
,https://www.naukri.com/job-listings-sql-developer-zentek-infosoft-hyderabad-chennai-bengaluru-3-to-8-years-240625018225,
,https://www.naukri.com/job-listings-sql-developer-zentek-infosoft-hyderabad-chennai-bengaluru-3-to-8-years-240625018225,
,https://www.naukri.com/job-listings-sql-developer-e-solutions-bangalore-rural-bengaluru-8-to-12-years-170625026907,
,https://www.naukri.com/job-listings-sql-developer-e-solutions-bangalore-rural-bengaluru-8-to-12-years-170625026907,
,https://www.naukri.com/job-listings-sql-developer-clifyx-technology-bengaluru-5-to-10-years-240625505820,
