total_score,technology_score,experience_score,company_score,role_score,match_level,required_skills,preferred_skills,technologies_mentioned,experience_requirement,location,remote_friendly,company_type,application_recommendation,reasoning,skill_gaps,growth_potential,job_title,company_name,job_url,processed_at,should_apply,fallback_used
72,37.0,10,15,10.0,good,"['Python', 'SQL', 'AWS S3', 'AWS EC2', 'ETL Development', 'Data Validation', 'RDBMS']","['Apache Airflow', 'AWS Lambda', 'PostgreSQL', 'Data Lakes', 'CI/CD Pipelines', 'Bash', 'Jenkins']","['Hive', 'Cloudera', 'Python', 'Data Analysis', 'Scala', 'Oozie', 'Airflow', 'Data Warehousing']",1-4 years,"Bengaluru, Pune, Mumbai, Kolkata, New Delhi, Hyderabad, Chennai",True,service,recommend,"Kaustubh possesses a strong foundation in data engineering with 2 years of experience. His skills align well with the job description, especially in Python, SQL, AWS services (S3, EC2, Lambda), and ETL processes.  The experience requirement (1-4 years) is a good match for his 2 years of experience.  The company's remote-friendly policy is a plus. However, the technology stack match score is somewhat lower because the job description mentions technologies (Hive, Cloudera, Oozie, Scala) that Kaustubh hasn't explicitly listed as skills, though he's learning some related technologies (Spark, Kafka). The company is a service company, which is slightly less desirable compared to a product company.  Therefore, while it's a good match, he might want to emphasize his ability to learn quickly in his application.","['Hadoop', 'Kafka', 'Spark', 'DBT', 'Databricks', 'Snowflake', 'potentially Hive, Cloudera, Oozie, Scala']",medium,Data Engineer,Netlink Software Pvt Ltd is looking for Data Engineer to join our dynamic team and emba...,,1753027702.8948622,True,
73,36.0,10,17,10.0,good,"['Python', 'SQL', 'Airflow', 'AWS S3', 'AWS EC2', 'AWS Lambda', 'ETL Development', 'Data Validation', 'Schema Design']","['DBT', 'Spark', 'Kafka', 'Kubernetes', 'Great Expectations']","['Python', 'SQL', 'Bash', 'Apache Airflow', 'Jenkins', 'Great Expectations', 'PostgreSQL', 'MySQL', 'Oracle DB', 'AWS S3', 'AWS EC2', 'AWS Lambda', 'AWS CloudWatch', 'AWS Secrets Manager', 'GCP', 'REST APIs', 'JSON', 'XML', 'CI/CD Pipelines', 'Kubernetes', 'Hive', 'Cloudera', 'Scala', 'Oozie', 'Data Warehousing', 'Data Analysis', 'DBT', 'Databricks', 'Spark', 'Kafka', 'Snowflake']",1-4 years,"Bengaluru, Pune, Mumbai, Kolkata, New Delhi, Hyderabad, Chennai",True,product,recommend,"Kaustubh possesses a strong foundation in core Data Engineering skills and experience. His skills in Python, SQL, Airflow, AWS services, and ETL development align well with the job requirements.  The experience requirement (1-4 years) is a good match for his 2 years of experience. The location flexibility and remote option are also advantageous. However, the technology score is slightly lower because while he has experience with some big data tools, his proficiency with Spark and Kafka needs further development.  The company is listed as a product company, adding to the positive aspects. Overall, the match is good, making this a role worth applying for.  Focusing on strengthening skills in Spark and Kafka before the interview would significantly improve his chances.","['Advanced Spark', 'Kafka']",medium,Data Engineer,Edgematics,,1753027706.994508,True,
72,36.0,10,16,10.0,good,"['SQL', 'Python', 'ETL Development', 'Data Modeling']","['Apache Airflow', 'AWS S3', 'PostgreSQL', 'MySQL', 'Agile', 'PL/SQL']","['MySQL', 'Apache SSIS', 'PL/SQL', 'Unix shell scripting', 'Performance tuning', 'Data modeling']",3-8 years,"Bengaluru, Pune, Mumbai, Kolkata, New Delhi, Hyderabad, Chennai",False,enterprise,recommend,"Kaustubh has a good foundation in data engineering, with solid skills in Python, SQL, and various AWS services.  His experience with Airflow and several databases aligns well with the job description. However, the job posting's requirement of 3-8 years of experience poses a challenge, impacting the experience score. The technology stack match is decent, but not perfect.  Couche-Tard is a large enterprise, which is a factor to consider. The lack of explicit mention of remote work is a negative, but the multiple locations listed offer flexibility. Overall, his skills align sufficiently, and given his stated preference for Bangalore/Remote/Hybrid, applying is a reasonable option, but not a guaranteed fit given the experience gap.  Focusing on his strong Airflow, AWS, and database experience in the application should be beneficial.","['Apache SSIS (can be mitigated through learning or highlighting transferable skills)', 'Unix Shell Scripting (minor gap, easily learned)', 'Experience (the 3-8 years requirement is a significant hurdle to overcome by showcasing achievements exceeding expectations in previous roles)']",medium,Data Engineer,"Job Description Alimentation Couche-Tard Inc., (ACT) is a global Fortune 200 comp...",,1753027710.9847775,True,
72,37.0,10,15,10.0,good,"['SQL', 'Python', 'ETL Development', 'Data Warehousing', 'RDBMS']","['Apache Airflow', 'AWS Services (S3, EC2, Lambda)', 'Data Lakes', 'CI/CD Pipelines']","['SQL', 'Python', 'Hive', 'Oracle', 'Data Warehousing', 'AWS S3', 'AWS EC2', 'AWS Lambda', 'AWS CloudWatch', 'AWS Secrets Manager', 'GCP', 'REST APIs', 'JSON', 'XML', 'Jenkins', 'Kubernetes']",3-7 years,"Bengaluru, Pune, Mumbai, Kolkata, New Delhi, Hyderabad, Chennai",True,service,recommend,"Kaustubh's 2 years of experience puts him in a 'good match' category for the experience requirement (10 points).  His skillset is strong in SQL, Python, AWS, and CI/CD, aligning well with the job description.  He scores well in the database (30 points) and programming (24 points) sections of the technology stack. However, he lacks experience in some big data tools mentioned (0 points for Hadoop, Spark, Kafka) resulting in a lower technology score. The role is remote-friendly (10 points), and Bangalore is a preferred location (5 points). The company is classified as a service company (0 points added).  The role is perfectly relevant (10 points). The overall score of 72 indicates a good match. While his experience is slightly below the requirement, his strong skills in relevant areas compensate.  Focusing on quickly learning Spark, Kafka, and potentially Hadoop will significantly improve his chances.","['Apache Spark', 'Kafka', 'Hadoop']",medium,SQL Developer / Data Engineer,Infidigit,,1753027715.1348207,True,
68,34.0,10,14,10.0,good,"['Python', 'SQL', 'ETL Development']","['Apache Airflow', 'AWS S3', 'AWS Lambda', 'PostgreSQL', 'CI/CD Pipelines']","['Python', 'SQL', 'Django', 'Data Engineering', 'AWS', 'REST APIs', 'JSON', 'XML', 'Kubernetes']",3-8 years,"Bengaluru, Pune, Mumbai",False,service,consider,"Kaustubh has a solid foundation in many relevant technologies.  His skills in Python, SQL, AWS services (S3, Lambda), CI/CD, and ETL are strong assets. However, the job posting explicitly requires 3+ years of experience, significantly exceeding Kaustubh's 2 years. This results in a low experience score. While he possesses many of the required technologies, his lack of experience might be a barrier. The company is a placement solution, not a product company, and doesn't offer remote work, further lowering the score.  Despite the experience gap, his skill set is relevant, making it worth considering applying if he is willing to highlight transferable skills and demonstrate strong potential in the interview. Focusing on projects demonstrating practical application of  Airflow, AWS Lambda, and other listed technologies could strengthen his application.","['Experience (requires 3+ years)', 'potentially Hadoop/Spark for Big Data']",medium,Python Data Engineer,Helios Placement Solution,,1753027718.6047869,True,
68,35.0,10,18,5.0,good,"['Apache Hudi', 'Flink', 'Iceberg', 'Apache Airflow', 'Spark', 'AWS']","['Python', 'SQL']","['Apache Hudi', 'Flink', 'Iceberg', 'Apache Airflow', 'Spark', 'AWS', 'Azure', 'Python', 'SQL', 'Scala']",3-5 years,"Bengaluru, Mumbai, New Delhi",True,service,recommend,"Kaustubh has a good foundation in data engineering, with strong skills in Python, SQL, Airflow, and AWS. His experience aligns reasonably well with the job description, though the required experience slightly exceeds his current tenure (3-5 years vs 2 years). The technology match is moderate; he possesses several crucial technologies (Airflow, Spark, AWS), but some required skills like Hudi, Flink, and Iceberg are missing.  The company offers a remote-friendly option, which is positive.  However, being a service company and not explicitly a product company, it doesn't add as many points to the company score.  The overall score falls into the 'good' range, making it a viable application but requiring further preparation to address skill gaps.","['Apache Hudi', 'Flink', 'Iceberg', 'Azure (in-depth)', 'Scala']",medium,Data Engineer,Uplers,,1753027726.6511698,True,
72,36.0,10,16,10.0,good,"['Python', 'SQL', 'ETL Development', 'Data Validation', 'Schema Design']","['Apache Airflow', 'AWS S3', 'AWS Lambda', 'PostgreSQL', 'MySQL']","['C++', 'NoSQL', 'Python', 'SQL', 'AWS S3', 'AWS EC2', 'AWS Lambda', 'AWS CloudWatch', 'AWS Secrets Manager', 'GCP', 'REST APIs', 'JSON', 'XML', 'Kubernetes']",1-3 years,"Bengaluru, Pune, Mumbai, Kolkata, New Delhi, Hyderabad, Chennai",True,Unknown (needs further investigation),recommend,"Kaustubh's 2 years of experience is a good match for the 1-3 years requirement, earning him 10 points in the experience section.  His skillset shows strong alignment with the job description, particularly in Python, SQL, AWS services (S3, Lambda, etc.), and ETL development. However, the job description mentions C++ and NoSQL, which while not crucial, would add to his value. His proficiency in Airflow, Great Expectations, and other listed tools is valuable, but those are not explicitly stated in the job posting and therefore are not specifically scored. Given his experience with AWS and GCP, he earns a decent score in cloud platforms.  The location flexibility (Bangalore preference) and potential for remote work adds to the company score. The job description lacks specifics, thus we cannot determine whether it is from a startup, product, or service company.","['C++', 'NoSQL (specific database technology)']",medium,Data Engineer,Arsr Technologies,,1753027732.894554,True,
72,34.0,10,20,8.0,good,"['Python', 'SQL', 'Cloud Computing', 'ETL Development', 'CI/CD Pipelines']","['Java', 'C++', 'Spark', 'Kafka', 'DBT', 'Databricks']","['Java', 'C++', 'Python', 'Cloud Computing', 'GIT', 'Linux', 'Shell Scripting', 'Machine Learning', 'Agile', 'JIRA', 'AWS', 'GCP', 'PostgreSQL', 'MySQL', 'RDBMS']",3-7 years,"Bengaluru, Pune, Mumbai, Chennai, Gurugram",True,enterprise,recommend,"Kaustubh has a good foundation in data engineering with 2 years of experience. His skills align well with the job description, especially in Python, SQL, AWS, and CI/CD.  However, the job posting specifies 3-7 years of experience, which is a significant gap.  His experience score is lower because of this. His strong skills in AWS, Python, and several databases offset this. The location flexibility and the fact that Fractal Analytics is a reputable company boosts the score.  The preferred skills list highlights areas where Kaustubh can improve and strengthen his profile.  Focusing on strengthening his skills in Spark, Kafka, and DBT will significantly improve his chances. Considering his solid foundation and the potential for growth at Fractal Analytics, applying is recommended.","['Spark', 'Kafka', 'DBT', 'Experience (3+ years)']",medium,Data Engineer,Fractal Analytics,,1753027739.1847873,True,
72,34.0,10,20,8.0,good,"['SQL', 'Python', 'ETL Development', 'Data Modeling', 'AWS S3']","['Apache Airflow', 'Power BI', 'Data Visualization', 'RDBMS', 'CI/CD']","['MySQL', 'Power BI', 'Apache Airflow', 'GIT', 'AWS']",1-4 years,"Bengaluru, Pune, Mumbai, Kolkata, New Delhi, Hyderabad, Chennai",True,product,recommend,"Kaustubh possesses a strong skillset aligning well with the job description.  His 2 years of experience at Eli Lilly & Company is valuable. The experience level requirement (1-4 years) is a good match, scoring 10 points.  The location flexibility (Bangalore preference with remote/hybrid options) adds to the company score. The role is a perfect match for a Data Engineer. 

However, the technology stack match is moderate.  He excels in Python, SQL, AWS services (S3, EC2, Lambda, Cloudwatch, Secrets Manager),  Airflow, and other relevant tools. However, the job description highlights Power BI and retail KPIs, which, while related, aren't explicitly mentioned in Kaustubh’s skills.  He also lacks explicit experience with Hadoop. This results in a technology score of 34. The overall good score is driven by strong experience and flexibility of the role, justifying a 'recommend' status.  Focusing on strengthening his Power BI skills and potentially learning some Hadoop would significantly increase his chances.","['Hadoop', 'Power BI (proficiency in dashboarding for retail KPIs)', 'Experience with Retail Data']",medium,Data Engineer,Retailcloud,,1753027742.9749696,True,
70,34.0,10,16,10.0,good,"['Python', 'SQL', 'Dataiku']","['Apache Airflow', 'AWS S3', 'PostgreSQL', 'ETL Development', 'Data Validation']","['Dataiku', 'Python', 'Microstrategy', 'SAS', 'PostgreSQL', 'MySQL', 'Oracle DB', 'AWS S3', 'AWS EC2', 'AWS Lambda', 'AWS CloudWatch', 'AWS Secrets Manager']",3-8 years,"Bengaluru, Pune, Mumbai, Kolkata, New Delhi, Hyderabad, Chennai",True,service,recommend,"Kaustubh has a good foundation in Data Engineering with strong skills in Python, SQL, AWS, and various DevOps tools. His experience aligns reasonably well with the requirements, though the job posting targets a slightly more senior level (3-8 years).  His 2 years of experience is a good match with the 'Good Match' criteria (+10). The company offers remote flexibility (+10), and Bangalore is a preferred location for the candidate (+5).  The role is a perfect match for a Data Engineer (+10). However, the technology stack match is moderate. While he has experience with Python, SQL, AWS, and Airflow, he lacks specific experience with Dataiku which is prominently mentioned in the job description.  His knowledge of other listed databases and big data tools is good, but not fully utilized in the scoring due to the job description's emphasis on Dataiku. The experience level requirement slightly penalizes the score, indicating that he might need to highlight his relevant achievements to compensate for the experience gap. Overall, the candidate's skills and experience make him a suitable applicant, and further emphasizing relevant projects, especially those leveraging similar tools in banking sector, will significantly strengthen his application.",['Dataiku'],medium,Data Engineer - Dataiku / Python,InfoCepts,,1753027747.1745098,True,
